1	48,31460674157304%
2	47,565543071161045%
3	44,569288389513105%
4	40,823970037453186%
5	41,57303370786517%
6	41,57303370786517%
7	38,951310861423224%
8	39,70037453183521%
9	38,57677902621723%
10	38,20224719101123%
11	40,074906367041194%
12	40,074906367041194%
13	38,951310861423224%
14	38,951310861423224%
15	40,074906367041194%
16	38,951310861423224%
17	41,57303370786517%
18	41,19850187265918%
19	39,325842696629216%
20	39,325842696629216%
21	36,70411985018727%
22	36,70411985018727%
23	37,453183520599254%
24	37,07865168539326%
25	38,57677902621723%
26	37,453183520599254%
27	36,329588014981276%
28	37,07865168539326%
29	36,329588014981276%
30	36,329588014981276%
31	36,329588014981276%
32	35,95505617977528%
33	37,82771535580524%
34	36,70411985018727%
35	36,70411985018727%
36	37,07865168539326%
37	36,329588014981276%
38	35,95505617977528%
39	36,70411985018727%
40	35,2059925093633%
41	35,580524344569284%
42	35,95505617977528%
43	36,70411985018727%
44	38,20224719101123%
45	37,453183520599254%
46	37,07865168539326%
47	35,2059925093633%
48	36,70411985018727%
49	35,580524344569284%
50	36,329588014981276%
51	37,07865168539326%
52	37,07865168539326%
53	37,07865168539326%
54	37,07865168539326%
55	35,95505617977528%
56	37,07865168539326%
57	37,453183520599254%
58	37,453183520599254%
59	37,453183520599254%
60	37,82771535580524%
61	38,20224719101123%
62	38,57677902621723%
63	38,57677902621723%
64	38,57677902621723%
65	37,82771535580524%
66	38,20224719101123%
67	38,57677902621723%
68	38,57677902621723%
69	38,951310861423224%
70	39,70037453183521%
71	40,074906367041194%
72	40,074906367041194%
73	40,074906367041194%
74	40,074906367041194%
75	40,074906367041194%
76	40,074906367041194%
77	40,823970037453186%
78	39,70037453183521%
79	40,44943820224719%
80	40,823970037453186%
81	41,947565543071164%
82	43,07116104868914%
83	42,69662921348314%
84	42,69662921348314%
85	42,69662921348314%
86	42,32209737827715%
87	42,69662921348314%
88	43,82022471910113%
89	43,445692883895134%
90	43,445692883895134%
91	44,569288389513105%
92	44,19475655430712%
93	44,9438202247191%
94	45,31835205992509%
95	45,69288389513109%
96	44,9438202247191%
97	44,569288389513105%
98	44,9438202247191%
99	44,19475655430712%
100	45,31835205992509%
101	46,06741573033708%
102	45,31835205992509%
103	45,69288389513109%
104	45,31835205992509%
105	45,31835205992509%
106	45,31835205992509%
107	45,69288389513109%
108	44,9438202247191%
109	45,69288389513109%
110	46,06741573033708%
111	44,9438202247191%
112	46,06741573033708%
113	46,06741573033708%
114	46,81647940074906%
115	47,19101123595505%
116	46,81647940074906%
117	47,19101123595505%
118	46,81647940074906%
119	47,19101123595505%
120	46,81647940074906%
121	47,940074906367045%
122	49,43820224719101%
123	49,43820224719101%
124	49,063670411985015%
125	49,43820224719101%
126	47,940074906367045%
127	48,31460674157304%
128	49,063670411985015%
129	49,063670411985015%
130	50,56179775280899%
131	50,56179775280899%
132	50,187265917603%
133	49,812734082397%
134	50,187265917603%
135	50,187265917603%
136	50,936329588014985%
137	50,936329588014985%
138	50,936329588014985%
139	50,187265917603%
140	49,063670411985015%
141	49,43820224719101%
142	50,187265917603%
143	50,56179775280899%
144	49,812734082397%
145	50,187265917603%
146	50,936329588014985%
147	50,56179775280899%
148	50,56179775280899%
149	50,187265917603%
150	51,31086142322098%
151	50,936329588014985%
152	51,31086142322098%
153	51,31086142322098%
154	51,31086142322098%
155	51,68539325842697%
156	52,43445692883895%
157	52,80898876404494%
158	53,18352059925093%
159	52,43445692883895%
160	52,43445692883895%
161	53,18352059925093%
162	53,93258426966292%
163	55,0561797752809%
164	55,430711610486895%
165	55,80524344569289%
166	56,55430711610487%
167	56,55430711610487%
168	56,55430711610487%
169	56,92883895131086%
170	57,30337078651685%
171	57,67790262172284%
172	57,67790262172284%
173	57,30337078651685%
174	58,052434456928836%
175	58,052434456928836%
176	58,42696629213483%
177	58,052434456928836%
178	58,80149812734082%
179	59,55056179775281%
180	59,925093632958806%
181	59,925093632958806%
182	60,67415730337079%
183	60,67415730337079%
184	60,2996254681648%
185	61,42322097378277%
186	62,172284644194754%
187	62,172284644194754%
188	63,29588014981273%
189	63,670411985018724%
190	63,29588014981273%
191	63,670411985018724%
192	63,670411985018724%
193	62,92134831460674%
194	62,172284644194754%
195	63,29588014981273%
196	62,172284644194754%
197	60,67415730337079%
198	61,04868913857678%
199	60,67415730337079%
200	60,67415730337079%
201	60,67415730337079%
202	62,172284644194754%
203	62,172284644194754%
204	62,172284644194754%
205	61,79775280898876%
206	61,42322097378277%
207	61,42322097378277%
208	62,172284644194754%
209	61,79775280898876%
210	62,92134831460674%
211	64,7940074906367%
212	64,41947565543072%
213	64,41947565543072%
214	64,7940074906367%
215	64,7940074906367%
216	64,7940074906367%
217	64,7940074906367%
218	65,1685393258427%
219	64,7940074906367%
220	64,04494382022472%
221	65,54307116104869%
222	67,04119850187266%
223	66,29213483146067%
224	66,66666666666666%
225	65,91760299625467%
226	66,29213483146067%
227	65,91760299625467%
228	66,29213483146067%
229	66,29213483146067%
230	67,04119850187266%
231	67,79026217228464%
232	68,91385767790263%
233	71,91011235955057%
234	70,78651685393258%
235	70,78651685393258%
236	70,78651685393258%
237	72,65917602996255%
238	72,28464419475655%
239	71,91011235955057%
240	71,16104868913857%
241	72,65917602996255%
242	74,15730337078652%
243	76,40449438202246%
244	77,15355805243446%
245	77,15355805243446%
246	77,15355805243446%
247	77,15355805243446%
248	78,27715355805243%
249	79,40074906367042%
250	80,14981273408239%
251	80,14981273408239%
252	80,14981273408239%
253	80,52434456928839%
254	80,52434456928839%
255	81,64794007490637%
256	81,27340823970037%
257	82,77153558052434%
258	83,14606741573034%
259	83,52059925093633%
260	84,26966292134831%
261	83,89513108614233%
262	84,26966292134831%
263	84,26966292134831%
264	84,26966292134831%
265	83,89513108614233%
266	83,52059925093633%
