1	20,0%
2	20,0%
3	16,666666666666664%
4	14,666666666666666%
5	17,333333333333336%
6	17,333333333333336%
7	15,333333333333332%
8	18,0%
9	13,333333333333334%
10	14,666666666666666%
11	14,000000000000002%
12	14,666666666666666%
13	14,666666666666666%
14	14,666666666666666%
15	14,000000000000002%
16	14,666666666666666%
17	14,666666666666666%
18	15,333333333333332%
19	14,000000000000002%
20	15,333333333333332%
21	15,333333333333332%
22	15,333333333333332%
23	18,666666666666668%
24	18,0%
25	19,333333333333332%
26	16,666666666666664%
27	18,0%
28	18,0%
29	20,666666666666668%
30	19,333333333333332%
31	22,0%
32	20,666666666666668%
33	20,0%
34	22,0%
35	24,666666666666668%
36	24,0%
37	22,666666666666664%
38	24,0%
39	23,333333333333332%
40	23,333333333333332%
41	22,0%
42	23,333333333333332%
43	24,666666666666668%
44	22,0%
45	25,333333333333336%
46	22,666666666666664%
47	25,333333333333336%
48	26,0%
49	26,666666666666668%
50	29,333333333333332%
51	28,000000000000004%
52	28,666666666666668%
53	26,0%
54	26,666666666666668%
55	26,666666666666668%
56	27,333333333333332%
57	28,666666666666668%
58	29,333333333333332%
59	27,333333333333332%
60	28,666666666666668%
61	26,666666666666668%
62	28,666666666666668%
63	28,666666666666668%
64	27,333333333333332%
65	27,333333333333332%
66	27,333333333333332%
67	28,666666666666668%
68	30,0%
69	28,666666666666668%
70	28,666666666666668%
71	28,000000000000004%
72	27,333333333333332%
73	28,666666666666668%
74	29,333333333333332%
75	30,666666666666664%
76	29,333333333333332%
77	32,0%
78	30,0%
79	32,666666666666664%
80	32,0%
81	33,33333333333333%
82	32,666666666666664%
83	34,66666666666667%
84	33,33333333333333%
85	32,666666666666664%
86	33,33333333333333%
87	32,0%
88	36,0%
89	36,666666666666664%
90	38,0%
91	34,0%
92	36,0%
93	37,333333333333336%
94	36,0%
95	36,0%
96	38,0%
97	39,33333333333333%
98	40,0%
99	42,0%
100	40,666666666666664%
101	39,33333333333333%
102	41,333333333333336%
103	40,666666666666664%
104	40,0%
105	39,33333333333333%
106	42,0%
107	41,333333333333336%
108	41,333333333333336%
109	42,66666666666667%
110	43,333333333333336%
111	44,666666666666664%
112	46,0%
113	43,333333333333336%
114	44,0%
115	46,666666666666664%
116	44,666666666666664%
117	45,33333333333333%
118	50,0%
119	50,0%
120	49,333333333333336%
121	46,666666666666664%
122	50,0%
123	48,0%
124	47,333333333333336%
125	47,333333333333336%
126	47,333333333333336%
127	49,333333333333336%
128	49,333333333333336%
129	48,66666666666667%
130	48,0%
131	48,66666666666667%
132	51,33333333333333%
133	48,66666666666667%
134	50,0%
135	54,0%
136	61,33333333333333%
137	60,0%
138	60,0%
139	63,33333333333333%
140	62,0%
141	66,66666666666666%
142	69,33333333333334%
143	68,0%
144	69,33333333333334%
145	76,66666666666667%
146	76,0%
147	80,66666666666666%
148	100,0%
149	100,0%
