1	28,000000000000004%
2	28,000000000000004%
3	20,0%
4	25,333333333333336%
5	24,0%
6	22,666666666666664%
7	24,0%
8	26,666666666666668%
9	24,0%
10	28,000000000000004%
11	26,666666666666668%
12	28,000000000000004%
13	26,666666666666668%
14	28,000000000000004%
15	30,666666666666664%
16	32,0%
17	33,33333333333333%
18	30,666666666666664%
19	30,666666666666664%
20	29,333333333333332%
21	29,333333333333332%
22	32,0%
23	32,0%
24	32,0%
25	32,0%
26	36,0%
27	32,0%
28	32,0%
29	30,666666666666664%
30	34,66666666666667%
31	42,66666666666667%
32	45,33333333333333%
33	44,0%
34	38,666666666666664%
35	38,666666666666664%
36	40,0%
37	38,666666666666664%
38	34,66666666666667%
39	38,666666666666664%
40	40,0%
41	48,0%
42	41,333333333333336%
43	45,33333333333333%
44	44,0%
45	46,666666666666664%
46	41,333333333333336%
47	45,33333333333333%
48	40,0%
49	44,0%
50	46,666666666666664%
51	46,666666666666664%
52	45,33333333333333%
53	49,333333333333336%
54	46,666666666666664%
55	53,333333333333336%
56	56,00000000000001%
57	58,666666666666664%
58	62,66666666666667%
59	62,66666666666667%
60	68,0%
61	68,0%
62	66,66666666666666%
63	73,33333333333333%
64	77,33333333333333%
65	77,33333333333333%
66	68,0%
67	77,33333333333333%
68	78,66666666666666%
69	81,33333333333333%
70	85,33333333333334%
71	77,33333333333333%
72	85,33333333333334%
73	100,0%
74	100,0%
